"cid","site","nARTR","nNonARTR","nARTRgt25","nNonARTRgt25","nShrubs","val","ucid"
26,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_26"
27,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_27"
28,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_28"
29,"PonyComplex1",6,0,6,0,6,0,"PonyComplex1_29"
30,"PonyComplex1",17,0,17,0,17,1,"PonyComplex1_30"
31,"PonyComplex1",9,0,9,0,9,0,"PonyComplex1_31"
32,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_32"
33,"PonyComplex1",0,2,0,0,2,0,"PonyComplex1_33"
34,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_34"
35,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_35"
36,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_36"
37,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_37"
38,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_38"
39,"PonyComplex1",0,1,0,0,1,1,"PonyComplex1_39"
40,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_40"
41,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_41"
42,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_42"
43,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_43"
44,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_44"
45,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_45"
46,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_46"
47,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_47"
48,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_48"
49,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_49"
50,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_50"
51,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_51"
52,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_52"
53,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_53"
54,"PonyComplex1",2,0,1,0,2,0,"PonyComplex1_54"
55,"PonyComplex1",12,2,11,0,14,0,"PonyComplex1_55"
56,"PonyComplex1",3,0,3,0,3,0,"PonyComplex1_56"
57,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_57"
58,"PonyComplex1",2,0,2,0,2,0,"PonyComplex1_58"
59,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_59"
60,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_60"
61,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_61"
62,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_62"
63,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_63"
64,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_64"
65,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_65"
66,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_66"
67,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_67"
68,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_68"
69,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_69"
70,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_70"
71,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_71"
72,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_72"
73,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_73"
74,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_74"
75,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_75"
76,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_76"
77,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_77"
78,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_78"
79,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_79"
80,"PonyComplex1",9,0,9,0,9,0,"PonyComplex1_80"
81,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_81"
82,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_82"
83,"PonyComplex1",10,0,10,0,10,0,"PonyComplex1_83"
84,"PonyComplex1",4,0,4,0,4,1,"PonyComplex1_84"
85,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_85"
86,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_86"
87,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_87"
88,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_88"
89,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_89"
90,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_90"
91,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_91"
92,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_92"
93,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_93"
94,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_94"
95,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_95"
96,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_96"
97,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_97"
98,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_98"
99,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_99"
100,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_100"
101,"PonyComplex1",15,0,14,0,15,0,"PonyComplex1_101"
102,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_102"
103,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_103"
104,"PonyComplex1",6,0,6,0,6,0,"PonyComplex1_104"
105,"PonyComplex1",8,0,8,0,8,1,"PonyComplex1_105"
106,"PonyComplex1",8,0,8,0,8,0,"PonyComplex1_106"
107,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_107"
108,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_108"
109,"PonyComplex1",3,0,3,0,3,0,"PonyComplex1_109"
110,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_110"
111,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_111"
112,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_112"
113,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_113"
114,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_114"
115,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_115"
116,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_116"
117,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_117"
118,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_118"
119,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_119"
120,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_120"
121,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_121"
122,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_122"
123,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_123"
124,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_124"
125,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_125"
126,"PonyComplex1",2,0,2,0,2,1,"PonyComplex1_126"
127,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_127"
128,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_128"
129,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_129"
130,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_130"
131,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_131"
132,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_132"
133,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_133"
134,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_134"
135,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_135"
136,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_136"
137,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_137"
138,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_138"
139,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_139"
140,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_140"
141,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_141"
142,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_142"
143,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_143"
144,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_144"
145,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_145"
146,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_146"
147,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_147"
148,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_148"
149,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_149"
150,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_150"
151,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_151"
152,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_152"
153,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_153"
154,"PonyComplex1",15,0,14,0,15,0,"PonyComplex1_154"
155,"PonyComplex1",1,2,1,0,3,0,"PonyComplex1_155"
156,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_156"
157,"PonyComplex1",4,2,0,0,6,0,"PonyComplex1_157"
158,"PonyComplex1",2,1,0,0,3,0,"PonyComplex1_158"
159,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_159"
160,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_160"
161,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_161"
162,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_162"
163,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_163"
164,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_164"
165,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_165"
166,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_166"
167,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_167"
168,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_168"
169,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_169"
170,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_170"
171,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_171"
172,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_172"
173,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_173"
174,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_174"
175,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_175"
176,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_176"
177,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_177"
178,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_178"
179,"PonyComplex1",6,0,6,0,6,1,"PonyComplex1_179"
180,"PonyComplex1",9,0,7,0,9,0,"PonyComplex1_180"
181,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_181"
182,"PonyComplex1",6,22,3,0,28,1,"PonyComplex1_182"
183,"PonyComplex1",9,8,7,0,17,0,"PonyComplex1_183"
184,"PonyComplex1",3,0,3,0,3,0,"PonyComplex1_184"
185,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_185"
186,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_186"
187,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_187"
188,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_188"
189,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_189"
190,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_190"
191,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_191"
192,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_192"
193,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_193"
194,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_194"
195,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_195"
196,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_196"
197,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_197"
198,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_198"
199,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_199"
200,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_200"
201,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_201"
202,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_202"
203,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_203"
204,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_204"
205,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_205"
206,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_206"
207,"PonyComplex1",0,9,0,0,9,0,"PonyComplex1_207"
208,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_208"
209,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_209"
210,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_210"
211,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_211"
212,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_212"
213,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_213"
214,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_214"
215,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_215"
216,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_216"
217,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_217"
218,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_218"
219,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_219"
220,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_220"
221,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_221"
222,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_222"
223,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_223"
224,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_224"
225,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_225"
226,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_226"
227,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_227"
228,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_228"
229,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_229"
230,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_230"
231,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_231"
232,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_232"
233,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_233"
234,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_234"
235,"PonyComplex1",0,1,0,0,1,0,"PonyComplex1_235"
236,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_236"
237,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_237"
238,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_238"
239,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_239"
240,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_240"
241,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_241"
242,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_242"
243,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_243"
244,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_244"
245,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_245"
246,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_246"
247,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_247"
248,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_248"
249,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_249"
250,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_250"
251,"PonyComplex1",10,0,4,0,10,1,"PonyComplex1_251"
252,"PonyComplex1",61,0,5,0,61,0,"PonyComplex1_252"
253,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_253"
254,"PonyComplex1",12,0,2,0,12,0,"PonyComplex1_254"
255,"PonyComplex1",10,0,6,0,10,1,"PonyComplex1_255"
256,"PonyComplex1",9,0,9,0,9,0,"PonyComplex1_256"
257,"PonyComplex1",10,0,4,0,10,0,"PonyComplex1_257"
258,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_258"
259,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_259"
260,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_260"
261,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_261"
262,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_262"
263,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_263"
264,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_264"
265,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_265"
266,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_266"
267,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_267"
268,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_268"
269,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_269"
270,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_270"
271,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_271"
272,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_272"
273,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_273"
274,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_274"
275,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_275"
276,"PonyComplex1",6,0,4,0,6,0,"PonyComplex1_276"
277,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_277"
278,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_278"
279,"PonyComplex1",8,0,1,0,8,0,"PonyComplex1_279"
280,"PonyComplex1",9,0,9,0,9,0,"PonyComplex1_280"
281,"PonyComplex1",2,0,2,0,2,0,"PonyComplex1_281"
282,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_282"
283,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_283"
284,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_284"
285,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_285"
286,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_286"
287,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_287"
288,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_288"
289,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_289"
290,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_290"
291,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_291"
292,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_292"
293,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_293"
294,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_294"
295,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_295"
296,"PonyComplex1",0,1,0,0,1,0,"PonyComplex1_296"
297,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_297"
298,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_298"
299,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_299"
300,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_300"
301,"PonyComplex1",16,0,6,0,16,0,"PonyComplex1_301"
302,"PonyComplex1",4,0,3,0,4,0,"PonyComplex1_302"
303,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_303"
304,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_304"
305,"PonyComplex1",3,0,3,0,3,0,"PonyComplex1_305"
306,"PonyComplex1",2,0,2,0,2,0,"PonyComplex1_306"
307,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_307"
308,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_308"
309,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_309"
310,"PonyComplex1",3,0,1,0,3,0,"PonyComplex1_310"
311,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_311"
312,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_312"
313,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_313"
314,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_314"
315,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_315"
316,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_316"
317,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_317"
318,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_318"
319,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_319"
320,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_320"
321,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_321"
322,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_322"
323,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_323"
324,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_324"
325,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_325"
326,"PonyComplex1",7,0,5,0,7,1,"PonyComplex1_326"
327,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_327"
328,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_328"
329,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_329"
330,"PonyComplex1",1,0,1,0,1,1,"PonyComplex1_330"
331,"PonyComplex1",2,0,2,0,2,0,"PonyComplex1_331"
332,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_332"
333,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_333"
334,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_334"
335,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_335"
336,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_336"
337,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_337"
338,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_338"
339,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_339"
340,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_340"
341,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_341"
342,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_342"
343,"PonyComplex1",0,1,0,0,1,0,"PonyComplex1_343"
344,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_344"
345,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_345"
346,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_346"
347,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_347"
348,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_348"
349,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_349"
350,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_350"
351,"PonyComplex1",5,0,0,0,5,0,"PonyComplex1_351"
352,"PonyComplex1",4,0,1,0,4,0,"PonyComplex1_352"
353,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_353"
354,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_354"
355,"PonyComplex1",7,0,7,0,7,0,"PonyComplex1_355"
356,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_356"
357,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_357"
358,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_358"
359,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_359"
360,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_360"
361,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_361"
362,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_362"
363,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_363"
364,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_364"
365,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_365"
366,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_366"
367,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_367"
368,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_368"
369,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_369"
370,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_370"
371,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_371"
372,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_372"
373,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_373"
374,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_374"
375,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_375"
376,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_376"
377,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_377"
378,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_378"
379,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_379"
380,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_380"
381,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_381"
382,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_382"
383,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_383"
384,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_384"
385,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_385"
386,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_386"
387,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_387"
388,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_388"
389,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_389"
390,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_390"
391,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_391"
392,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_392"
393,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_393"
394,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_394"
395,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_395"
396,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_396"
397,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_397"
398,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_398"
399,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_399"
400,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_400"
401,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_401"
402,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_402"
403,"PonyComplex1",2,0,2,0,2,0,"PonyComplex1_403"
404,"PonyComplex1",9,0,9,0,9,0,"PonyComplex1_404"
405,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_405"
406,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_406"
407,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_407"
408,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_408"
409,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_409"
410,"PonyComplex1",1,0,1,0,1,0,"PonyComplex1_410"
411,"PonyComplex1",0,0,0,0,0,1,"PonyComplex1_411"
412,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_412"
413,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_413"
414,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_414"
415,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_415"
416,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_416"
417,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_417"
418,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_418"
419,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_419"
420,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_420"
421,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_421"
422,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_422"
423,"PonyComplex1",0,0,0,0,0,0,"PonyComplex1_423"
